Product_Name,Historical_Sales,Competitor_Price,Seasonality,Promotion,Price,Demand
Sugar,202,10.209202081084609,Medium,Yes,25.809095214540744,430.4998764138798
Rice,535,42.98836531208367,High,Yes,29.428856480354334,816.4475503120514
Yogurt,960,11.268605241856143,Medium,Yes,49.19234656741707,908.8917534311362
Bread,370,28.410438222681144,Low,No,40.6686049880499,72.39696197632965
Bananas,206,6.670099398303602,Medium,Yes,33.326217274228284,457.25022387756314
Eggs,171,8.630139532602982,Low,Yes,21.366752651570128,283.4917100934988
Eggs,800,35.25567204392892,Low,No,6.21812089116343,513.4637848
Butter,120,36.01316346923825,Low,No,10.243742482343828,101.2234674
Milk,714,20.366123297379907,Medium,No,37.88902627427227,533.8844752271007
Rice,221,14.702439435937015,Medium,No,21.614176770886527,231.12785580730284
Bread,566,41.61696218407886,Low,Yes,20.049684612919016,615.0523996815016
Eggs,314,14.769645326145065,High,Yes,45.004026136588216,587.6975824010315
Bananas,430,29.391218134987085,Medium,Yes,26.8029000731197,591.4877437243886
Flour,558,48.569397838830746,Medium,Yes,45.48096758358994,589.6277637767388
Bananas,187,11.65335970380727,Medium,Yes,44.89873296809898,317.1172349445343
Flour,472,47.3394320372619,Medium,Yes,8.608158127154951,714.1051046524213
Butter,199,13.230187388090089,Low,Yes,47.5413340295091,202.90774938259483
Pasta,971,30.53494436104533,High,No,8.462969762340084,1051.3968654838131
Eggs,763,21.965347038143506,High,Yes,48.35777518612457,930.2157791620788
Rice,230,48.421787067582166,High,No,25.367671291972563,393.827049420455
Cheese,761,17.30939130508716,High,No,39.23873040895593,624.2645010443721
Tomatoes,408,22.984610093858915,Low,No,36.7764965235434,117.22345510557264
Bananas,869,49.228705303493925,Medium,Yes,28.332273844603783,928.5860995518027
Milk,443,29.141167603481293,Medium,Yes,32.875466847603946,555.2851977414105
Bread,591,27.61835520295641,Low,No,47.74631816746376,192.36670982163128
Yogurt,513,16.60003196917961,Medium,Yes,46.730817079845814,516.9311094052849
Potatoes,905,36.56136021396986,Low,Yes,34.44467226165891,774.1561002221927
Tomatoes,485,5.646782829999994,High,No,34.59734055205364,539.0107174399867
Sugar,291,7.228068336603209,Low,No,16.11224120263271,171.84285008766307
Eggs,376,31.971136421111122,Medium,Yes,42.28805726231557,450.8102488906455
Rice,260,20.375355821830436,Medium,No,33.46714998509346,187.0839245195681
Bread,559,47.899236749043226,Medium,No,42.18119563992936,403.07239788231436
Sugar,413,45.64358108252536,High,No,34.60335846295895,388.95940578358557
Potatoes,121,37.116781640451826,Low,Yes,18.469401171422675,231.12952391148485
Milk,352,41.81655115075106,Low,Yes,13.526663122886596,451.6532975344597
Flour,847,35.0299332350462,Medium,No,8.463462990041995,768.0681786333707
Apples,956,10.65119462195723,Low,No,31.36977195170571,628.1445447510147
Apples,660,39.44945163601412,Medium,Yes,17.782311087893078,774.4289378526717
Yogurt,574,14.458638592348088,Low,Yes,33.37292815658664,504.93148009697046
Cheese,158,19.554928479508852,High,Yes,7.6395400197697185,648.8860759422769
Cheese,610,41.86553954460891,High,Yes,21.90483792525322,856.476318768579
Cheese,781,29.14365237770517,Low,Yes,16.724894691639903,800.9567355839463
Butter,575,43.697332138253415,High,Yes,21.665033510050087,893.3207110675803
Salt,799,14.586589392946888,High,No,7.442754339046418,916.9505257994552
Rice,882,32.350029737309924,High,No,37.58816384750509,787.4054763110285
Bread,289,8.770593764671773,Medium,No,10.251379991433797,340.8529562618987
Eggs,786,33.937744709301334,Low,Yes,5.648118185666896,798.4219096124914
Apples,662,39.31403169989906,Low,No,47.58300956252001,259.5927880634609
Yogurt,975,31.321890229042474,Medium,No,13.679437206427245,847.0320370616685
Sugar,666,16.98041756744646,Medium,No,42.262758430045736,436.0335163293409
Pasta,343,6.410420098649002,High,No,48.40117698907059,335.7321110463505
Eggs,931,10.37519977839286,Low,No,29.035453980594287,560.1089133440341
Cheese,604,33.00363405833118,Medium,No,28.67531720213959,481.38112125518694
